,A,B,C
2018-02-01 16:30:00,-0.005802033853998055,-0.13849786182431806,0.1343453148172175
2018-02-01 16:45:00,-0.0061701695715763874,-0.13931767336082923,0.13475197419957208
2018-02-01 17:00:00,-0.0066669401122588425,-0.14078191384541858,0.13353950201402465
2018-02-01 17:15:00,-0.006461967347144187,-0.1415778949706958,0.13373311665678
2018-02-01 17:30:00,-0.0067194915900968466,-0.1420575886739405,0.1333647847247261
2018-02-01 17:45:00,-0.007217332905018863,-0.1421421811385054,0.13375227475165236
2018-02-01 18:00:00,-0.00781500256528227,-0.14220371240287405,0.1339669345923654
2018-02-01 18:15:00,-0.007829539924538956,-0.1432977911747027,0.13422266662843063
2018-02-01 18:30:00,-0.0073579034153860995,-0.14278402429593148,0.13419051303105836
2018-02-01 18:45:00,-0.006797531593072082,-0.14295860988505454,0.1342523912765841
